Verses from Lunyu with 4-gram

V	X	H	T	S

101	5			
102	2	2	4	3
104	1			
106				1
107	2			
109	1		2	6
110			3	
111			2	3
112	1		6	4
113			1	
114				1
115			2	3
116	2			
201	2		1	4
202	1			
203			5	1
204	5			
205				1
210				1
211	2		1	
213				1
215	2			
216				1
218			1	
220		1	1	
221			5	5
222	3			
223			1	4
301			1	3
304		1		1
306		1		
308			2	
311		4	2	3
312		1	1	
314		2		1
316		3	2	6
318				1
319			1	2
320	1			
321				1
324			2	
325			1	
402			7	
403		1		
405				4
407		1	1	
410		1	1	2
413			2	3
414				1
415	4		2	
416	1			
417	5			
420			2	3
421		1		
423		1	1	
424			1	
425	2			
501			1	
505		1		
508				1
513			8	8
515	1			2
516		1	1	
520	1			1
522			1	3
523		2		
526			2	
528		1	3	
602			2	1
603			1	
604			1	
605		1		
606			1	
608			4	1
610		3		
611				1
612		1		
617			1	5
618		1		
619		1		
620	1			
623	1			
627			1	1
628		1		
629			2	
630	2		2	
701				1
702	1			
703		2	6	
711			4	1
715		2		1
716	1		1	
722	1			
725			2	
727	1			
728			1	
729			1	
730			3	
731		1		
734				2
735				3
736			1	
737	1	1		
801			10	1
802		1		
803	5	8	6	1
804		1	1	
805			1	
806	2	5	2	
807	9		6	5
810				1
811				2
813		1		4
814				1
818		2	7	3
819	2		2	3
820		3	7	1
821		2	4	
905			1	2
911		2	2	
912		1		
915	3	1	1	2
917		1	1	1
922			2	1
923			2	
924			1	
928		1	1	
930				2
1001			1	
1104		1		
1107			1	
1114		1		
1117			1	
1122			2	1
1123			1	
1124	2	1	4	3
1201		1	7	5
1202	12			
1205	2	2	7	2
1206			2	
1207	1	1	16	9
1209		1	9	
1210				1
1211			2	1
1213			1	
1215			1	1
1216		3	2	1
1217	1	1		2
1219			1	1
1220			2	2
1222				1
1302			1	2
1303		16	6	20
1304			1	1
1305			2	
1307			3	
1310			1	3
1311			3	
1315			6	7
1317	1		1	
1318		6		
1319		1		
1320	3		2	
1321	1			
1322		1	3	
1323	25			
1325	1			
1330			2	
1402		2		
1405			1	
1406			1	1
1411				2
1412			5	
1413			2	
1417			7	
1421		1		4
1424				1
1425			1	
1426				1
1431	1			
1433		1		
1435	1	2	1	
1437				1
1439			1	1
1441		3	1	3
1443		4	10	3
1501			7	3
1503	4		1	
1505			1	1
1506		1	2	
1508			1	1
1509	1	1		
1510		2		1
1512	1			
1546			1	
1518	4			2
1524	12			
1525			1	5
1530		4		
1532			1	
1536	1			
1539	1			1
1601	5	5	14	9
1602			2	16
1603				1
1604	1			
1608		1		4
1611			1	1
1612		2	3	
1613				2
1701				1
1705	1	1	1	2
1706			3	
1708			1	
1713			1	2
1716		1		
1717			2	
1719		2	10	25
1720		1		
1721	2			
1802			2	
1805	1			2
1806			1	4
1807		2	24	11
1808		4	1	
1810		2		
1901			3	1
1902		2		
1903				1
1904			2	1
1906		1		
1912		2	4	1
1918		1	2	
1919		2	2	
1920			4	
1921			1	
1922			18	
1923		1	1	
1925	1	1	4	
2001		13	38	17
2002			2	2

