	论语	汉唐	习
子:	975	35	22
曰:	756	22	0
之:	612	157	65
不:	584	88	276
也:	532	27	10
而:	342	53	208
其:	267	31	25
人:	219	29	41
者:	219	18	60
以:	210	51	30
有:	203	64	24
于:	183	29	35
矣:	182	8	0
为:	171	19	13
乎:	159	13	4
君:	158	46	11
可:	156	29	25
如:	153	8	43
与:	142	7	1
言:	129	11	14
无:	127	16	16
则:	123	9	37
问:	119	0	0
何:	118	3	0
吾:	115	14	0
知:	114	7	35
仁:	110	9	3
夫:	101	4	0
道:	89	26	25
焉:	88	1	8
行:	82	6	19
谓:	77	4	0
礼:	76	9	1
孔:	74	7	0
必:	74	3	37
三:	70	10	5
斯:	69	4	0
能:	69	4	0
见:	67	7	9
学:	65	2	22
事:	61	10	0
哉:	61	5	0
闻:	61	2	1
是:	60	8	0
未:	59	6	0
公:	57	1	0
好:	53	5	25
我:	53	1	8
路:	53	0	0
在:	51	15	0
大:	51	8	2
得:	50	26	5
民:	50	4	0
天:	49	31	5
小:	49	0	0
所:	48	6	32
邦:	48	5	0
乐:	48	4	19
已:	47	7	6
使:	47	5	0
下:	46	23	1
亦:	46	2	12
贡:	44	0	0
欲:	43	5	66	****
诸:	43	2	0
文:	42	16	4
政:	42	9	3
善:	42	8	8
从:	42	6	4
后:	41	5	8
食:	41	4	0
德:	40	11	10
然:	39	8	0
恶:	39	4	0
求:	39	2	0
对:	39	0	0
信:	38	4	35
死:	38	2	6
由:	35	2	0
仲:	35	0	0
一:	33	12	9
非:	33	3	0
过:	32	10	0
出:	32	0	0
足:	31	18	0
虽:	30	3	0
己:	29	9	26
居:	29	3	0
父:	29	3	0
及:	29	0	0
夏:	29	0	0
予:	28	10	0
尔:	28	1	0
成:	27	11	3
远:	27	7	39	****
友:	27	2	18
上:	27	1	0
色:	27	0	0
臣:	26	36	0
中:	26	16	0
今:	26	6	0
齐:	26	3	8
立:	26	0	23
张:	26	0	0
思:	25	0	49	****
贤:	25	0	9
义:	24	24	14
命:	24	7	2
正:	24	3	1
敢:	23	8	0
犹:	23	3	6
门:	23	1	0
伯:	23	1	0
曾:	23	1	0
丧:	22	4	0
难:	22	3	0
敬:	22	2	0
日:	22	2	0
直:	22	1	4
季:	22	1	0
生:	22	0	2
自:	21	3	13
周:	21	2	0
用:	21	1	3
说:	21	1	0
颜:	21	0	0
告:	20	9	0
年:	20	9	0
十:	20	7	8
师:	20	3	4
怨:	20	3	1
达:	20	1	13
孝:	19	6	0
先:	19	5	0
弟:	19	3	4
至:	19	2	0
士:	19	0	2
多:	19	0	2
女:	19	0	0
四:	18	15	4
忠:	18	3	0
莫:	18	1	0
冉:	18	1	0
身:	18	1	0
服:	18	0	4
丘:	18	0	0
疾:	18	0	0
百:	17	25	0
安:	17	7	2
失:	17	3	0
耻:	17	3	0
将:	17	2	0
富:	17	1	4
志:	17	1	1
朝:	17	1	0
患:	17	0	60	****
宰:	17	0	0
氏:	17	0	0
回:	17	0	0
赐:	17	0	0
孰:	16	5	0
渊:	16	1	6
云:	16	1	1
叔:	16	1	0
勇:	16	1	0
或:	16	1	0
衣:	16	0	0
若:	16	0	0
入:	16	0	0
