Verses from Lunyu with 4-gram

V	X	H	T	S

101	5				5
102**	2	2	4	3	11
104	1				1
106				1	1
107	2				2
109	1		2	6	9
110			3		3
111			2	3	5
112	1		6	4	11
113			1		1
114				1	1
115			2	3	5
116	2				2
201	2		1	4	7
202	1				1
203			5	1	6
204	5				5
205				1	1
210				1	1
211	2		1		3
213				1	1
215	2				2
216				1	1
218			1		1
220		1	1		2
221			5	5	10
222	3				3
223			1	4	5
301			1	3	4
304		1		1	2
306		1			1
308			2		2
311		4	2	3	9
312		1	1		2
314		2		1	3
316		3	2	6	11
318				1	1
319			1	2	3
320	1				1
321				1	1
324			2		2
325			1		1
402			7		7
403		1			1
405				4	4
407		1	1		2
410		1	1	2	4
413			2	3	5
414				1	1
415	4		2		6
416	1				1
417	5				5
420			2	3	5
421		1			1
423		1	1		2
424			1		1
425	2				2
501			1		1
505		1			1
508				1	1
513			8	8	16
515	1			2	3
516		1	1		2
520	1			1	2
522			1	3	4
523		2			2
526			2		2
528		1	3		4
602			2	1	3
603			1		1
604			1		1
605		1			1
606			1		1
608			4	1	5
610		3			3
611				1	1
612		1			1
617			1	5	6
618		1			1
619		1			1
620	1				1
623	1				1
627			1	1	2
628		1			1
629			2		2
630	2		2		4
701				1	1
702	1				1
703		2	6		8
711			4	1	5
715		2		1	3
716	1		1		2
722	1				1
725			2		2
727	1				1
728			1		1
729			1		1
730			3		3
731		1			1
734				2	2
735				3	3
736			1		1
737	1	1			2
801			10	1	11
802		1			1
803	5	8	6	1	20
804		1	1		2
805			1		1
806	2	5	2		9
807	9		6	5	20
810				1	1
811				2	2
813		1		4	5
814				1	1
818		2	7	3	12
819	2		2	3	7
820		3	7	1	11
821		2	4		6
905			1	2	3
911		2	2		4
912		1			1
915	3	1	1	2	7
917		1	1	1	3
922			2	1	3
923			2		2
924			1		1
928		1	1		2
930				2	2
1001			1		1
1104		1			1
1107			1		1
1114		1			1
1117			1		1
1122			2	1	3
1123			1		1
1124**	2	1	4	3	10
1201		1	7	5	13
1202	12				12
1205**	2	2	7	2	13
1206			2		2
1207	1	1	16	9	27
1209		1	9		10
1210				1	1
1211			2	1	3
1213			1		1
1215			1	1	2
1216		3	2	1	6
1217	1	1		2	4
1219			1	1	2
1220			2	2	4
1222				1	1
1302			1	2	3
1303		16	6	20	42
1304			1	1	2
1305			2		2
1307			3		3
1310			1	3	4
1311			3		3
1315			6	7	13
1317	1		1		2
1318		6			6
1319		1			1
1320	3		2		5
1321	1				1
1322		1	3		4
1323	25				25
1325	1				1
1330			2		2
1402		2			2
1405			1		1
1406			1	1	2
1411				2	2
1412			5		5
1413			2		2
1417			7		7
1421		1		4	5
1424				1	1
1425			1		1
1426				1	1
1431	1				1
1433		1			1
1435	1	2	1		4
1437				1	1
1439			1	1	2
1441		3	1	3	7
1443		4	10	3	17
1501			7	3	10
1503	4		1		5
1505			1	1	2
1506		1	2		3
1508			1	1	2
1509	1	1			2
1510		2		1	3
1512	1				1
1546			1		1
1518	4			2	6
1524	12				12
1525			1	5	6
1530		4			4
1532			1		1
1536	1				1
1539	1			1	2
1601**	5	5	14	9	33
1602			2	16	18
1603				1	1
1604	1				1
1608		1		4	5
1611			1	1	2
1612		2	3		5
1613				2	2
1701				1	1
1705	1	1	1	2	5
1706			3		3
1708			1		1
1713			1	2	3
1716		1			1
1717			2		2
1719		2	10	25	37
1720		1			1
1721	2				2
1802			2		2
1805	1			2	3
1806			1	4	5
1807		2	24	11	37
1808		4	1		5
1810		2			2
1901			3	1	4
1902		2			2
1903				1	1
1904			2	1	3
1906		1			1
1912		2	4	1	7
1918		1	2		3
1919		2	2		4
1920			4		4
1921			1		1
1922			18		18
1923		1	1		2
1925	1	1	4		6
2001		13	38	17	68
2002			2	2	4

	160	169	454	329	1112
	
