Using a 5-gram for the Lunyu:
Xi quoted 40 verses a total of 87 times.
Han quoted 43 verses a total of 58 times.
Tang quoted 43 verses a total of 63 times.

Verse		Total	Xi	Han	Tang
1.1		4	4	0	0
1.2		5	1	2	2
1.7		1	1	0	0
1.12		1	1	0	0
1.15		2	0	0	2
1.16		1	1	0	0
2.2		1	1	0	0
2.3		1	0	0	1
2.4		4	4	0	0
2.11		3	2	0	1
2.15		2	2	0	0
2.2		1	0	1	0
2.21		2	0	0	2
2.22		3	3	0	0
2.23		1	0	0	1
3.6		1	0	1	0
3.11		2	0	1	1
3.12		2	0	1	1
3.14		2	0	2	0
3.19		1	0	0	1
3.2		1	1	0	0
3.25		1	0	0	1
4.3		1	0	1	0
4.16		1	1	0	0
4.17		1	1	0	0
4.21		1	0	1	0
4.23		2	0	1	1
4.25		2	2	0	0
5.2		1	1	0	0
5.23		1	0	1	0
5.26		1	0	0	1
5.28		1	0	1	0
6.2		2	0	0	2
6.1		1	0	1	0
6.12		1	0	1	0
6.2		1	1	0	0
6.3		2	2	0	0
7.2		1	1	0	0
7.3		1	0	0	1
7.16		1	1	0	0
7.22		1	1	0	0
7.27		1	1	0	0
7.28		2	1	0	1
7.34		1	1	0	0
7.37		2	1	1	0
8.1		2	0	0	2
8.2		1	0	1	0
8.3		2	1	1	0
8.5		1	0	0	1
8.6		4	0	3	1
8.7		6	6	0	0
8.18		7	0	1	6
8.19		1	0	0	1
8.2		1	0	1	0
9.11		3	0	2	1
9.12		1	0	1	0
9.15		1	0	0	1
9.28		1	0	1	0
11.4		1	0	1	0
11.14		1	0	1	0
11.23		1	0	0	1
11.24		1	0	0	1
12.1		2	0	1	1
12.2		12	12	0	0
12.5		2	2	0	0
12.7		1	0	1	0
12.9		2	0	0	2
12.11		2	0	0	2
12.13		1	0	0	1
12.16		2	0	2	0
12.17		1	0	1	0
13.3		3	0	3	0
13.11		1	0	0	1
13.17		1	1	0	0
13.18		1	0	1	0
13.2		3	3	0	0
13.24		1	1	0	0
13.3		2	0	0	2
14.12		1	0	0	1
14.17		1	0	0	1
14.31		1	1	0	0
14.41		4	0	3	1
14.43		1	0	0	1
15.1		2	0	0	2
15.9		1	0	1	0
15.1		1	0	1	0
15.12		1	1	0	0
15.18		2	2	0	0
15.19		1	1	0	0
15.24		12	12	0	0
15.3		3	0	3	0
16.1		6	4	2	0
16.4		1	1	0	0
16.8		1	0	1	0
16.11		1	0	0	1
17.8		1	0	0	1
17.16		1	0	1	0
17.19		3	0	1	2
17.2		1	0	1	0
17.21		2	2	0	0
18.2		2	0	0	2
18.5		1	1	0	0
18.6		1	0	0	1
18.1		1	0	1	0
19.2		1	0	1	0
19.6		1	0	1	0
19.19		1	0	0	1
19.2		1	0	0	1
20.1		8	0	3	5


