Using a 4-gram for the Lunyu:
Xi quoted 62 verses a total of 151 times.
Han quoted 86 verses a total of 145 times.
Tang quoted 147 verses a total of 404 times.

Verse		Total	Xi	Han	Tang
1.1		4	4	0	0
1.2		7	1	2	4
1.3		0	0	0	0
1.4		1	1	0	0
1.5		0	0	0	0
1.6		0	0	0	0
1.7		2	2	0	0
1.8		0	0	0	0
1.9		3	1	0	2
1.10		3	0	0	3
1.11		2	0	0	2
1.12		7	1	0	6
1.13		1	0	0	1
1.14		0	0	0	0
1.15		2	0	0	2
1.16		1	1	0	0
2.1		3	2	0	1
2.2		1	1	0	0
2.3		5	0	0	5
2.4		4	4	0	0
2.5		0	0	0	0
2.6		0	0	0	0
2.7		0	0	0	0
2.8		0	0	0	0
2.9		0	0	0	0
2.10		0	0	0	0
2.11		3	2	0	1
2.12		0	0	0	0
2.13		0	0	0	0
2.14		0	0	0	0
2.15		2	2	0	0
2.16		0	0	0	0
2.17		0	0	0	0
2.18		3	0	2	1
2.19		0	0	0	0
2.20		2	0	1	1
2.21		5	0	0	5
2.22		3	3	0	0
2.23		1	0	0	1
2.24		0	0	0	0
3.1		1	0	0	1
3.2		0	0	0	0
3.3		0	0	0	0
3.4		1	0	1	0
3.5		0	0	0	0
3.6		1	0	1	0
3.7		0	0	0	0
3.8		2	0	0	2
3.9		0	0	0	0
3.10		0	0	0	0
3.11		5	0	3	2
3.12		2	0	1	1
3.13		0	0	0	0
3.14		2	0	2	0
3.15		0	0	0	0
3.16		5	0	3	2
3.17		0	0	0	0
3.18		0	0	0	0
3.19		1	0	0	1
3.20		1	1	0	0
3.21		0	0	0	0
3.22		0	0	0	0
3.23		0	0	0	0
3.24		2	0	0	2
3.25		1	0	0	1
3.26		0	0	0	0
4.1		0	0	0	0
4.2		6	0	0	6
4.3		1	0	1	0
4.4		0	0	0	0
4.5		0	0	0	0
4.6		2	0	2	0
4.7		2	0	1	1
4.8		0	0	0	0
4.9		0	0	0	0
4.10		4	0	2	2
4.11		0	0	0	0
4.12		0	0	0	0
4.13		1	0	0	1
4.14		0	0	0	0
4.15		6	4	0	2
4.16		1	1	0	0
4.17		5	5	0	0
4.18		0	0	0	0
4.19		0	0	0	0
4.20		2	0	0	2
4.21		1	0	1	0
4.22		0	0	0	0
4.23		2	0	1	1
4.24		1	0	0	1
4.25		2	2	0	0
4.26		0	0	0	0
5.1		1	0	0	1
5.2		0	0	0	0
5.3		0	0	0	0
5.4		0	0	0	0
5.5		1	0	1	0
5.6		0	0	0	0
5.7		0	0	0	0
5.8		0	0	0	0
5.9		0	0	0	0
5.10		0	0	0	0
5.11		0	0	0	0
5.12		0	0	0	0
5.13		8	0	0	8
5.14		0	0	0	0
5.15		1	1	0	0
5.16		2	0	1	1
5.17		0	0	0	0
5.18		0	0	0	0
5.19		0	0	0	0
5.20		1	1	0	0
5.21		0	0	0	0
5.22		1	0	0	1
5.23		1	0	1	0
5.24		0	0	0	0
5.25		0	0	0	0
5.26		1	0	0	1
5.27		0	0	0	0
5.28		4	0	1	3
6.1		0	0	0	0
6.2		2	0	0	2
6.3		1	0	0	1
6.4		1	0	0	1
6.5		1	0	1	0
6.6		1	0	0	1
6.7		0	0	0	0
6.8		2	0	0	2
6.9		1	0	1	0
6.10		1	0	1	0
6.11		0	0	0	0
6.12		1	0	1	0
6.13		0	0	0	0
6.14		0	0	0	0
6.15		0	0	0	0
6.16		0	0	0	0
6.17		1	0	0	1
6.18		1	0	1	0
6.19		1	0	1	0
6.20		1	1	0	0
6.21		0	0	0	0
6.22		0	0	0	0
6.23		1	1	0	0
6.24		0	0	0	0
6.25		0	0	0	0
6.26		0	0	0	0
6.27		1	0	0	1
6.28		1	0	1	0
6.29		2	0	0	2
6.30		4	2	0	2
7.1		0	0	0	0
7.2		1	1	0	0
7.3		7	0	2	5
7.4		0	0	0	0
7.5		0	0	0	0
7.6		0	0	0	0
7.7		0	0	0	0
7.8		0	0	0	0
7.9		0	0	0	0
