Using a 4-gram for the Lunyu:
Xi quoted 62 verses a total of 151 times.
Han quoted 86 verses a total of 145 times.
Tang quoted 147 verses a total of 404 times.

Verse		Total	Xi	Han	Tang
1.1		4	4	0	0
1.2		7	1	2	4
1.4		1	1	0	0
1.7		2	2	0	0
1.9		3	1	0	2
1.10		3	0	0	3
1.11		2	0	0	2
1.12		7	1	0	6
1.13		1	0	0	1
1.15		2	0	0	2
1.16		1	1	0	0
2.1		3	2	0	1
2.2		1	1	0	0
2.3		5	0	0	5
2.4		4	4	0	0
2.11		3	2	0	1
2.15		2	2	0	0
2.18		3	0	2	1
2.20		2	0	1	1
2.21		5	0	0	5
2.22		3	3	0	0
2.23		1	0	0	1
3.1		1	0	0	1
3.4		1	0	1	0
3.6		1	0	1	0
3.8		2	0	0	2
3.11		5	0	3	2
3.12		2	0	1	1
3.14		2	0	2	0
3.16		5	0	3	2
3.19		1	0	0	1
3.20		1	1	0	0
3.24		2	0	0	2
3.25		1	0	0	1
4.2		6	0	0	6
4.3		1	0	1	0
4.6		2	0	2	0
4.7		2	0	1	1
4.10		4	0	2	2
4.13		1	0	0	1
4.15		6	4	0	2
4.16		1	1	0	0
4.17		5	5	0	0
4.20		2	0	0	2
4.21		1	0	1	0
4.23		2	0	1	1
4.24		1	0	0	1
4.25		2	2	0	0
5.1		1	0	0	1
5.5		1	0	1	0
5.13		8	0	0	8
5.15		1	1	0	0
5.16		2	0	1	1
5.20		1	1	0	0
5.22		1	0	0	1
5.23		1	0	1	0
5.26		1	0	0	1
5.28		4	0	1	3
6.2		2	0	0	2
6.3		1	0	0	1
6.4		1	0	0	1
6.5		1	0	1	0
6.6		1	0	0	1
6.8		2	0	0	2
6.9		1	0	1	0
6.10		1	0	1	0
6.12		1	0	1	0
6.17		1	0	0	1
6.18		1	0	1	0
6.19		1	0	1	0
6.20		1	1	0	0
6.23		1	1	0	0
6.27		1	0	0	1
6.28		1	0	1	0
6.29		2	0	0	2
6.30		4	2	0	2
7.2		1	1	0	0
7.3		7	0	2	5
7.11		4	0	0	4
7.15		1	0	1	0
7.16		4	1	2	1
7.22		2	1	0	1
7.25		2	0	0	2
7.27		1	1	0	0
7.28		2	1	0	1
7.29		1	0	0	1
7.30		3	0	0	3
7.31		1	0	1	0
7.33		1	0	0	1
7.34		1	1	0	0
7.36		1	0	0	1
7.37		2	1	1	0
8.1		10	0	0	10
8.2		1	0	1	0
8.3		17	3	8	6
8.4		2	0	1	1
8.5		1	0	0	1
8.6		6	1	3	2
8.7		13	9	0	4
8.13		1	0	1	0
8.18		8	0	1	7
8.19		4	2	0	2
8.20		10	0	3	7
8.21		3	0	1	2
9.5		1	0	0	1
9.11		4	0	2	2
9.12		1	0	1	0
9.15		6	3	2	1
9.17		2	0	1	1
9.22		2	0	0	2
9.23		2	0	0	2
9.24		1	0	0	1
9.28		2	0	1	1
10.1		1	0	0	1
11.4		1	0	1	0
11.7		1	0	0	1
11.14		1	0	1	0
11.17		1	0	0	1
11.22		2	0	0	2
11.23		1	0	0	1
11.24		7	2	1	4
12.1		6	0	1	5
12.2		12	12	0	0
12.5		11	2	2	7
12.6		1	0	0	1
12.7		12	1	1	10
12.9		10	0	1	9
12.11		2	0	0	2
12.13		1	0	0	1
12.15		1	0	0	1
12.16		5	0	3	2
12.17		2	1	1	0
12.19		1	0	0	1
12.20		1	0	0	1
12.22		1	0	0	1
13.2		1	0	0	1
13.3		8	0	5	3
13.4		1	0	0	1
13.5		2	0	0	2
13.7		3	0	0	3
13.10		1	0	0	1
13.11		3	0	0	3
13.15		6	0	0	6
13.17		2	1	0	1
13.18		5	0	5	0
13.19		1	0	1	0
13.20		5	3	0	2
13.21		1	1	0	0
13.22		4	0	1	3
13.23		21	21	0	0
13.24		1	1	0	0
13.25		1	1	0	0
13.30		2	0	0	2
14.2		1	0	1	0
14.5		1	0	0	1
14.6		1	0	0	1
14.12		5	0	0	5
14.13		2	0	0	2
14.17		7	0	0	7
